three,four,five,NDX
285.85,287.05,281.45,290.85
285.05,289.65,283.55,291.25
285.35,291.95,284.95,291.55
287.85,293.45,285.45,291.85
288.85,295.45,285.75,292.35
289.25,296.35,285.55,292.95
289.85,296.75,285.55,293.75
289.65,296.55,285.45,293.85
289.05,296.05,285.25,293.95
287.75,295.05,285.05,292.95
285.95,294.35,283.75,292.05
284.65,293.15,283.55,291.35
283.55,292.25,283.05,289.85
283.05,292.45,282.95,287.95
279.15,291.85,281.75,287.25
276.55,290.95,281.85,286.85
278.15,289.55,279.75,286.55
274.85,286.45,279.05,286.45
273.65,285.05,278.65,286.45
273.15,285.55,278.45,286.35
274.25,284.65,278.35,286.05
276.75,283.95,278.05,285.85
276.05,284.65,277.75,285.45
279.45,287.95,277.85,285.15
281.45,290.35,277.95,286.75
283.75,293.65,278.55,287.75
285.55,294.85,279.15,288.75
287.45,295.55,280.05,289.45
288.25,296.45,280.95,290.55
289.75,296.75,282.95,290.65
290.85,296.25,284.25,291.75
291.35,295.55,285.35,291.55
290.65,293.35,287.25,290.65
290.05,291.55,286.75,290.35
289.05,290.05,287.95,289.85
288.35,289.05,287.15,289.25
286.75,288.45,287.15,288.65
283.75,288.55,287.15,288.05
281.65,287.45,286.85,287.65
281.55,286.55,286.55,287.05
281.55,285.45,285.85,286.75
280.75,283.45,283.35,286.45
279.75,282.05,282.35,285.65
279.65,284.85,281.35,284.75
279.05,283.45,282.15,283.85
278.55,281.85,281.55,283.15
279.55,282.05,279.55,281.75
282.85,286.35,281.45,282.05
285.85,288.35,284.25,286.05
288.85,289.55,286.05,287.75
291.15,290.65,287.15,288.75
292.75,291.95,287.65,289.45
292.75,292.15,288.45,290.15
292.75,292.75,288.95,291.05
291.05,292.85,289.25,291.95
290.05,292.85,288.95,291.85
288.75,292.65,289.15,291.75
287.15,291.65,287.95,290.75
285.95,288.85,287.35,290.05
284.85,286.75,286.35,289.35
283.15,283.65,285.55,289.15
282.75,283.25,284.75,288.55
282.05,284.65,283.75,288.15
280.05,282.45,283.05,287.55
280.25,281.85,282.55,286.75
281.85,281.45,282.15,286.55
281.85,280.75,281.85,285.75
281.65,279.75,281.95,284.95
281.15,278.85,282.45,282.95
281.15,276.95,281.75,281.15
281.35,278.55,282.35,280.75
281.65,281.95,282.85,281.35
282.15,284.45,283.55,284.35
282.55,287.65,284.35,286.55
282.65,291.75,284.85,288.05
283.35,295.75,286.25,289.65
283.65,298.55,287.15,291.25
283.85,299.55,288.25,292.45
281.45,298.75,289.15,293.15
279.95,297.75,289.15,294.05
279.15,296.35,289.55,294.25
278.95,294.45,289.85,293.75
278.85,292.55,288.95,292.95
278.75,290.95,288.25,292.05
278.75,289.85,287.75,291.75
278.85,288.25,287.55,291.25
278.95,285.25,287.05,290.75
279.05,284.25,286.45,290.55
279.05,283.45,286.15,289.45
279.25,282.35,285.85,288.75
279.25,279.85,284.15,287.45
279.45,278.25,283.75,285.05
279.35,277.95,283.95,282.75
279.25,282.05,283.85,281.75
279.45,281.95,284.55,281.05
280.05,284.95,285.35,283.45
281.15,286.05,287.35,286.45
282.85,287.35,287.45,288.85
285.25,288.75,288.25,290.25
286.25,289.65,288.45,291.55
286.15,291.15,288.95,291.95
286.55,292.45,289.05,293.45
285.55,293.25,289.15,293.35
284.15,294.05,289.05,294.25
283.85,292.15,289.05,294.75
283.15,290.45,287.65,291.85
281.95,289.25,286.15,290.45
